,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,8,17,17,17,17,17
Reserves,308,329,375,447,540,588,603
Borrowings +,105,132,183,51,78,139,171
Other Liabilities +,72,103,98,93,110,120,122
Total Liabilities,490,573,673,608,745,865,912
Fixed Assets +,211,212,245,236,236,265,269
CWIP,15,40,1,2,13,25,33
Investments,0,0,0,0,0,0,0
Other Assets +,264,321,428,370,496,574,610
Total Assets,490,573,673,608,745,865,912
