,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,10,10,10,11,15,15,15,15,15,16,17
Reserves,15,20,18,52,89,194,305,476,577,8,10,28,25
Borrowings +,1,3,2,4,0,3,41,86,118,118,140,113,110
Other Liabilities +,14,16,15,34,52,107,148,241,287,98,102,156,179
Total Liabilities,35,44,45,100,152,314,509,819,998,239,268,312,330
Fixed Assets +,6,6,1,52,79,146,187,358,637,178,159,213,210
CWIP,13,16,17,20,20,18,21,28,-0,-0,-0,-0,-0
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,17,22,27,28,53,150,301,432,361,61,108,100,120
Total Assets,35,44,45,100,152,314,509,819,998,239,268,312,330
