,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013
Share Capital +,11,11,13,14,16,34
Reserves,194,279,398,490,664,523
Borrowings +,70,99,148,235,322,492
Other Liabilities +,30,61,89,133,123,116
Total Liabilities,305,450,647,872,"1,126","1,165"
Fixed Assets +,136,167,204,248,364,365
CWIP,20,21,66,68,140,68
Investments,0,0,17,17,0,0
Other Assets +,148,263,361,539,621,732
Total Assets,305,450,647,872,"1,126","1,165"
