,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,174,174,174,174,176,176,176,176,177,177,177,177,177
Reserves,"1,217","1,543","1,921","2,482","3,178","3,995","4,671","5,530","5,455","6,429","7,487","8,205","8,633"
Borrowings +,"1,051","1,068","1,151",708,734,805,975,938,699,522,509,"1,030","1,068"
Other Liabilities +,"1,481","1,415","1,462","1,948","2,019","1,956","1,910","2,058","2,106","2,209","2,661","2,872","2,867"
Total Liabilities,"3,923","4,200","4,709","5,312","6,106","6,932","7,732","8,702","8,437","9,337","10,833","12,284","12,745"
Fixed Assets +,"1,499","1,641","1,582","1,767","1,877","1,667","1,958","2,028","1,969","2,253","2,243","2,308","2,384"
CWIP,32,27,93,22,50,45,42,42,64,147,147,168,139
Investments,420,483,929,"1,076","1,813","2,691","3,240","3,805","3,359","2,800","4,160","6,220","6,017"
Other Assets +,"1,972","2,050","2,105","2,447","2,365","2,529","2,492","2,827","3,045","4,137","4,283","3,589","4,206"
Total Assets,"3,923","4,200","4,709","5,312","6,106","6,932","7,732","8,702","8,437","9,337","10,833","12,284","12,745"
