,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,502,529,811,"1,066","1,313"
Expenses +,408,394,617,769,938
Operating Profit,93,135,194,297,375
OPM %,19%,25%,24%,28%,29%
Other Income +,19,11,26,16,-6
Interest,24,45,69,31,47
Depreciation,23,29,52,60,65
Profit before tax,66,72,100,222,257
Tax %,24%,26%,30%,31%,
Net Profit,49,53,70,152,174
EPS in Rs,9.85,10.64,7.04,15.18,16.50
