,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0.00,0.04,0.03,0.15
Expenses +,2.28,6.34,3.01,6.92
Operating Profit,-2.28,-6.30,-2.98,-6.77
OPM %,,"-15,750.00%","-9,933.33%","-4,513.33%"
Other Income +,-14.51,3.81,4.73,4.33
Interest,0.00,0.02,0.24,0.36
Depreciation,2.18,2.13,1.67,1.95
Profit before tax,-18.97,-4.64,-0.16,-4.75
Tax %,-33.16%,-1.94%,87.50%,
Net Profit,-25.25,-4.73,-0.02,-3.69
EPS in Rs,,-0.77,-0.00,-0.59
