,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,69,69,167,167,183,503,507,562,562,562,281,281,281
Reserves,140,72,58,7,26,231,175,217,232,-34,279,290,290
Borrowings +,546,602,732,763,725,228,186,32,-0,49,26,15,37
Other Liabilities +,309,353,131,156,188,80,88,81,96,102,140,133,138
Total Liabilities,"1,064","1,096","1,088","1,093","1,121","1,042",957,892,890,678,725,719,746
Fixed Assets +,879,873,861,862,865,775,668,666,664,393,375,368,391
CWIP,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,12,9
Other Assets +,186,223,227,230,257,267,289,226,226,286,350,339,346
Total Assets,"1,064","1,096","1,088","1,093","1,121","1,042",957,892,890,678,725,719,746
