,Mar 2012,Mar 2013,Mar 2014
Sales +,182,188,80
Expenses +,162,167,140
Operating Profit,20,21,-60
OPM %,11%,11%,-76%
Other Income +,2,3,-5
Interest,15,16,20
Depreciation,4,4,6
Profit before tax,3,3,-91
Tax %,28%,34%,-1%
Net Profit,2,2,-92
EPS in Rs,0.80,0.84,-33.61
