,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,025","1,123",565
Expenses +,957,"1,055",606
Operating Profit,68,68,-41
OPM %,7%,6%,-7%
Other Income +,5,2,-9
Interest,35,36,29
Depreciation,8,11,8
Profit before tax,30,22,-87
Tax %,29%,33%,-1%
Net Profit,21,15,-88
EPS in Rs,1.22,0.84,-5.02
