,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,20,20,20,20,54,23,41,23,23,23,24,24
Reserves,232,261,266,267,272,259,311,359,414,420,501,730,796
Borrowings +,72,145,156,150,138,124,114,61,53,82,55,9,112
Other Liabilities +,166,155,166,168,180,213,229,373,396,429,477,519,526
Total Liabilities,488,580,607,605,609,620,677,817,887,954,"1,055","1,282","1,458"
Fixed Assets +,159,232,257,274,283,315,346,337,341,412,429,452,447
CWIP,5,7,12,4,7,2,7,5,8,19,13,24,35
Investments,5,8,13,12,14,17,18,35,45,28,31,179,222
Other Assets +,319,334,325,314,305,286,305,439,493,494,582,627,755
Total Assets,488,580,607,605,609,620,677,817,887,954,"1,055","1,282","1,458"
