,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16
Reserves,140,210,217,230,216,262,313,320
Borrowings +,17,8,4,9,27,24,58,108
Other Liabilities +,74,68,100,87,110,97,181,172
Total Liabilities,248,303,337,343,369,399,569,616
Fixed Assets +,107,113,108,120,134,140,157,166
CWIP,0,1,0,1,7,1,0,1
Investments,16,63,57,51,42,85,55,50
Other Assets +,124,126,172,170,186,173,356,400
Total Assets,248,303,337,343,369,399,569,616
