,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,19,39,39,39,39,39,39
Reserves,842,"1,091","1,424","1,876","2,257","2,756","3,524","4,045","4,615","4,970","5,961","6,894","7,556"
Borrowings +,621,"1,709","2,164","2,439","2,358","1,898","1,391",867,871,932,"1,001","2,529","3,173"
Other Liabilities +,692,392,544,688,685,725,855,927,954,866,"1,166","1,517","1,603"
Total Liabilities,"2,175","3,212","4,151","5,021","5,318","5,398","5,789","5,878","6,479","6,806","8,166","10,979","12,370"
Fixed Assets +,725,873,"1,335","2,389","2,415","2,859","2,849","2,849","2,786","3,308","3,370","4,019","4,746"
CWIP,56,477,"1,013",565,634,231,110,119,600,587,856,"1,258","1,282"
Investments,14,2,3,370,444,836,"1,349","1,103","1,083","1,062","1,418","1,897","1,864"
Other Assets +,"1,380","1,859","1,800","1,697","1,825","1,473","1,481","1,808","2,010","1,850","2,523","3,805","4,478"
Total Assets,"2,175","3,212","4,151","5,021","5,318","5,398","5,789","5,878","6,479","6,806","8,166","10,979","12,370"
