,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,14,18,25,25,25,25
Reserves,4,4,51,44,42,64,61
Borrowings +,5,5,0,0,0,15,36
Other Liabilities +,14,17,21,20,19,35,36
Total Liabilities,35,40,90,88,85,139,158
Fixed Assets +,9,8,10,15,14,29,52
CWIP,0,0,2,0,0,0,0
Investments,0,0,16,14,10,33,22
Other Assets +,26,32,63,59,61,77,83
Total Assets,35,40,90,88,85,139,158
