,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,66,65,95,107,107,88,88,417,417,417,417,417,385
Reserves,254,289,464,593,489,427,335,-19,-36,-108,-110,-83,160
Borrowings +,677,981,"1,054","1,085","1,195","1,142","1,202",882,852,861,766,826,819
Other Liabilities +,148,256,466,375,257,113,171,538,498,600,469,623,218
Total Liabilities,"1,138","1,582","2,070","2,140","2,028","1,770","1,796","1,786","1,699","1,738","1,511","1,751","1,582"
Fixed Assets +,500,500,890,"1,003","1,144","1,127","1,070","1,013",959,906,855,827,800
CWIP,294,528,187,182,111,1,1,1,2,1,1,1,33
Investments,5,48,48,48,75,52,55,50,53,47,40,40,42
Other Assets +,339,506,945,907,698,590,670,722,686,784,615,884,707
Total Assets,"1,138","1,582","2,070","2,140","2,028","1,770","1,796","1,786","1,699","1,738","1,511","1,751","1,582"
