,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,28,31,61
Reserves,7,15,457,"1,340","1,332"
Borrowings +,12,22,65,"1,059","1,037"
Other Liabilities +,32,37,"3,811",367,781
Total Liabilities,75,97,"4,362","2,796","3,212"
Fixed Assets +,2,4,15,52,47
CWIP,-0,-0,1,2,-0
Investments,-0,0,-0,5,21
Other Assets +,73,93,"4,347","2,737","3,144"
Total Assets,75,97,"4,362","2,796","3,212"
