,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,28,28,28,28,28,28,28,23,23,23,23
Reserves,331,276,394,480,528,628,729,800,889,"1,304","1,634","2,095","2,259"
Borrowings +,515,91,180,232,361,183,401,309,329,160,165,281,72
Other Liabilities +,180,242,170,255,223,364,154,148,176,250,341,354,227
Total Liabilities,"1,054",637,772,995,"1,140","1,203","1,312","1,284","1,421","1,736","2,163","2,753","2,581"
Fixed Assets +,262,243,297,299,289,458,479,543,562,787,731,771,776
CWIP,5,5,14,45,169,38,64,63,101,12,106,246,288
Investments,26,32,40,78,44,44,42,52,73,22,180,714,558
Other Assets +,761,357,421,573,638,662,727,626,686,915,"1,146","1,022",960
Total Assets,"1,054",637,772,995,"1,140","1,203","1,312","1,284","1,421","1,736","2,163","2,753","2,581"
