,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,758,801,916,565,"1,041","1,253"
Expenses +,526,527,522,322,545,639
Operating Profit,232,274,394,243,496,614
OPM %,31%,34%,43%,43%,48%,49%
Other Income +,11,19,32,60,50,39
Interest,6,4,26,26,28,32
Depreciation,10,9,89,96,94,103
Profit before tax,226,280,312,182,423,519
Tax %,35%,35%,24%,27%,26%,
Net Profit,148,182,237,133,315,386
EPS in Rs,11.82,14.55,18.90,10.72,12.98,15.92
