,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,19,13,103,103,103,103,103,13
Reserves,1,446,501,566,613,839,897,510,494
Borrowings +,10,716,"1,472","1,509","1,489","2,367","2,332","2,357","2,508"
Other Liabilities +,13,126,166,214,299,658,626,898,846
Total Liabilities,37,"1,301","2,152","2,302","2,413","3,877","3,868","3,777","3,861"
Fixed Assets +,1,437,"1,160","1,216","1,177","1,495","1,536","1,380","2,137"
CWIP,0,60,50,18,0,666,792,800,0
Investments,0,5,0,3,108,6,15,8,8
Other Assets +,36,800,942,"1,064","1,128","1,711","1,524","1,589","1,716"
Total Assets,37,"1,301","2,152","2,302","2,413","3,877","3,868","3,777","3,861"
