,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2.24,2.14,17.45,17.45,17.45,17.45,17.45,17.45,17.45
Reserves,37.75,38.43,34.54,37.76,39.70,42.46,46.19,101.91,104.09
Borrowings +,9.81,17.49,59.09,63.89,69.68,73.59,61.77,54.18,48.40
Other Liabilities +,54.00,70.63,74.09,82.19,96.28,74.15,73.39,46.86,62.23
Total Liabilities,103.70,128.69,185.17,201.29,223.11,207.65,198.80,220.40,232.17
Fixed Assets +,0.65,0.55,11.64,23.39,25.03,31.81,31.87,74.75,75.00
CWIP,-0.00,0.44,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,11.19,11.47,0.44,0.40,0.40,0.52,0.48,8.93,8.73
Other Assets +,91.86,116.23,173.09,177.50,197.68,175.32,166.45,136.72,148.44
Total Assets,103.70,128.69,185.17,201.29,223.11,207.65,198.80,220.40,232.17
