,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,51,102,243,243,317,317,317
Reserves,13,88,185,143,20,-15,-39
Borrowings +,74,"1,777","2,411","2,869","2,959","3,003","3,113"
Other Liabilities +,209,625,404,525,762,"1,284","1,936"
Total Liabilities,347,"2,592","3,107","3,644","4,058","4,589","5,327"
Fixed Assets +,0,339,339,340,339,338,337
CWIP,7,"1,850","2,534","3,051","3,526","4,084","4,769"
Investments,0,0,0,0,0,0,0
Other Assets +,339,403,233,253,193,167,220
Total Assets,347,"2,592","3,107","3,644","4,058","4,589","5,327"
