,Mar 2011,Mar 2012,Mar 2013,TTM
Sales +,357,647,704,305
Expenses +,329,605,644,314
Operating Profit,28,42,60,-9
OPM %,8%,7%,9%,-3%
Other Income +,12,8,-6,-1
Interest,23,28,37,17
Depreciation,4,4,4,3
Profit before tax,12,19,14,-30
Tax %,20%,18%,38%,
Net Profit,10,15,9,-36
EPS in Rs,0.05,0.07,0.04,-0.17
