,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,51,54,54,54,53,53,53,53,53
Reserves,226,312,354,390,382,314,374,474,440
Borrowings +,0,0,0,0,2,12,8,21,18
Other Liabilities +,53,44,30,36,37,90,106,60,60
Total Liabilities,329,410,438,479,475,469,541,607,571
Fixed Assets +,196,259,259,299,294,269,253,285,277
CWIP,6,1,17,0,1,5,8,3,5
Investments,86,93,104,120,95,90,126,146,102
Other Assets +,42,56,58,60,84,105,154,173,186
Total Assets,329,410,438,479,475,469,541,607,571
