,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,110,110,110,110,110,110,110,116,116,116,116,116,116
Reserves,247,128,111,-37,-315,-976,-725,-909,"-1,071","-1,264","-2,462","-2,549","-2,596"
Borrowings +,"1,396","1,623","2,357","2,799","3,358","3,836","3,885","3,629","3,517","3,479","3,486","3,481","3,476"
Other Liabilities +,"1,181","1,560",861,"1,112",803,822,858,717,738,734,712,720,752
Total Liabilities,"2,933","3,421","3,439","3,985","3,956","3,793","4,128","3,553","3,300","3,065","1,853","1,767","1,749"
Fixed Assets +,771,782,"1,136","1,172","3,036","2,895","3,142","2,933","2,804","2,679","1,704","1,625","1,590"
CWIP,"1,395","1,893","1,811","2,033",351,350,306,299,297,290,39,39,39
Investments,0,0,0,0,0,1,1,4,4,4,4,4,4
Other Assets +,767,745,492,780,569,547,678,316,194,92,106,99,116
Total Assets,"2,933","3,421","3,439","3,985","3,956","3,793","4,128","3,553","3,300","3,065","1,853","1,767","1,749"
