,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,314,451,624,589
Expenses +,296,395,575,552
Operating Profit,18,55,49,38
OPM %,6%,12%,8%,6%
Other Income +,8,7,12,6
Interest,11,9,14,15
Depreciation,9,9,11,11
Profit before tax,6,44,37,18
Tax %,22%,31%,29%,
Net Profit,5,30,26,13
EPS in Rs,2.29,14.10,12.20,5.83
