,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,110,110,110,110,110,110
Reserves,759,992,"1,361","1,824","2,306","2,577"
Borrowings +,"1,345",394,428,529,"1,035","1,203"
Other Liabilities +,442,552,577,741,964,"1,185"
Total Liabilities,"2,803","2,048","2,476","3,204","4,415","5,075"
Fixed Assets +,897,980,"1,198","1,379","1,733","1,934"
CWIP,102,190,342,696,"1,171","1,501"
Investments,180,176,282,417,634,677
Other Assets +,"1,624",701,655,711,878,963
Total Assets,"2,803","2,048","2,476","3,204","4,415","5,075"
