,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,90,90,90,90,90,90,90,90,90,90,90,90,90
Reserves,307,302,268,232,175,212,224,277,335,392,501,658,699
Borrowings +,100,166,197,159,102,67,45,36,40,37,51,56,27
Other Liabilities +,293,264,264,225,227,120,166,193,164,156,152,177,233
Total Liabilities,790,822,818,705,594,489,524,596,629,674,794,981,"1,048"
Fixed Assets +,368,320,313,288,247,218,216,193,230,292,281,267,259
CWIP,80,98,15,14,18,15,15,37,20,3,1,27,34
Investments,24,15,13,9,2,0,0,3,1,1,1,1,1
Other Assets +,318,389,476,394,328,256,293,363,377,378,510,685,755
Total Assets,790,822,818,705,594,489,524,596,629,674,794,981,"1,048"
