,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,871","1,391","1,582","1,707","1,831"
Expenses +,"1,689","1,251","1,436","1,542","1,650"
Operating Profit,182,140,145,165,181
OPM %,10%,10%,9%,10%,10%
Other Income +,1,2,4,4,4
Interest,102,85,74,94,95
Depreciation,38,38,45,48,48
Profit before tax,43,18,30,27,42
Tax %,27%,-129%,30%,6%,
Net Profit,31,41,21,25,34
EPS in Rs,3.04,4.02,2.09,2.45,3.33
