,Mar 2018,Mar 2019,Mar 2020
Sales +,827,752,565
Expenses +,747,669,529
Operating Profit,80,82,36
OPM %,10%,11%,6%
Other Income +,3,3,-0
Interest,43,49,53
Depreciation,33,34,38
Profit before tax,6,2,-56
Tax %,12%,37%,24%
Net Profit,6,1,-42
EPS in Rs,2.39,0.46,-17.87
