,Mar 2021,Mar 2022,TTM
Sales +,10.06,26.62,22.99
Expenses +,8.03,23.31,19.19
Operating Profit,2.03,3.31,3.80
OPM %,20.18%,12.43%,16.53%
Other Income +,0.06,0.33,0.59
Interest,0.05,0.12,0.12
Depreciation,0.62,0.58,0.59
Profit before tax,1.42,2.94,3.68
Tax %,30.99%,28.23%,
Net Profit,0.98,2.11,2.79
EPS in Rs,0.96,2.07,2.75
