,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,48,48,48,48,50,52,43,52,49,43,43,48,48
Reserves,33,38,50,67,35,57,81,101,125,146,202,378,376
Borrowings +,109,103,103,129,77,71,95,80,91,88,66,75,117
Other Liabilities +,56,70,72,64,122,93,78,90,91,92,128,110,140
Total Liabilities,237,250,263,299,275,264,298,315,351,370,439,611,680
Fixed Assets +,115,114,109,105,102,101,104,104,113,111,112,151,175
CWIP,19,19,20,20,1,3,6,10,24,30,43,36,39
Investments,1,1,1,1,0,0,0,0,0,0,0,0,0
Other Assets +,102,116,134,174,172,160,187,201,214,229,284,425,466
Total Assets,237,250,263,299,275,264,298,315,351,370,439,611,680
