,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,49,49,49,49,49,49,49,49,49,46,46,46,46
Reserves,456,582,684,771,774,842,876,916,920,753,736,703,"1,485"
Borrowings +,16,33,16,0,0,0,0,0,11,28,20,257,91
Other Liabilities +,457,428,442,383,301,286,325,381,474,413,477,629,"1,074"
Total Liabilities,978,"1,092","1,191","1,203","1,124","1,177","1,250","1,346","1,454","1,240","1,280","1,635","2,696"
Fixed Assets +,277,331,373,370,326,283,292,278,339,380,372,364,423
CWIP,9,20,8,5,8,24,15,28,72,69,75,82,26
Investments,53,94,92,181,293,362,411,506,420,3,1,16,13
Other Assets +,638,647,718,647,497,507,532,535,624,788,832,"1,174","2,235"
Total Assets,978,"1,092","1,191","1,203","1,124","1,177","1,250","1,346","1,454","1,240","1,280","1,635","2,696"
