,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,392,601,900,"1,134","1,138",439
Expenses +,305,494,769,957,997,747
Operating Profit,87,107,131,177,141,-308
OPM %,22%,18%,15%,16%,12%,-70%
Other Income +,4,2,7,4,5,-4
Interest,18,29,38,61,71,128
Depreciation,28,26,27,48,39,136
Profit before tax,45,55,73,72,37,-576
Tax %,18%,16%,17%,14%,-51%,-9%
Net Profit,37,46,61,62,55,-628
EPS in Rs,4.25,5.05,6.19,6.28,5.20,-59.08
