,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,5.96,5.96,5.96,5.96,11.93,11.93,11.93,11.93,11.93
Reserves,29.13,33.57,32.88,34.47,32.53,37.58,39.54,36.11,36.54
Borrowings +,32.02,31.55,23.12,18.61,23.18,27.45,28.09,26.28,22.77
Other Liabilities +,7.03,6.27,5.60,6.96,7.53,9.22,8.90,12.37,12.30
Total Liabilities,74.14,77.35,67.56,66.00,75.17,86.18,88.46,86.69,83.54
Fixed Assets +,62.99,67.97,58.72,57.72,62.80,61.68,71.79,74.87,68.73
CWIP,0.27,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.01,0.01,0.41,0.41,0.41,0.41,0.31,0.32
Other Assets +,10.88,9.19,8.83,7.87,11.96,24.09,16.26,11.51,14.49
Total Assets,74.14,77.35,67.56,66.00,75.17,86.18,88.46,86.69,83.54
