,Mar 2018
Share Capital +,157
Reserves,"2,547"
Borrowings +,818
Other Liabilities +,371
Total Liabilities,"3,893"
Fixed Assets +,"2,377"
CWIP,690
Investments,0
Other Assets +,825
Total Assets,"3,893"
