,Jun 2010,Jun 2011,Jun 2012,Sep 2013
Share Capital +,17,17,20,20
Reserves,549,651,790,423
Borrowings +,942,"1,239","1,961",712
Other Liabilities +,271,233,416,"1,926"
Total Liabilities,"1,779","2,141","3,188","3,081"
Fixed Assets +,580,743,675,"1,516"
CWIP,302,99,374,241
Investments,5,6,8,356
Other Assets +,892,"1,293","2,130",968
Total Assets,"1,779","2,141","3,188","3,081"
