,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,516,600,709,"1,483","1,728"
Expenses +,438,495,586,"1,299","1,513"
Operating Profit,78,105,124,184,214
OPM %,15%,17%,17%,12%,12%
Other Income +,1,4,9,13,11
Interest,3,4,3,13,23
Depreciation,12,17,23,48,63
Profit before tax,63,88,107,136,139
Tax %,28%,26%,25%,28%,
Net Profit,46,65,80,98,99
EPS in Rs,,,15.45,17.74,18.06
