,Mar 2021,Mar 2022,TTM
Sales +,503,629,646
Expenses +,397,512,550
Operating Profit,106,117,95
OPM %,21%,19%,15%
Other Income +,6,4,5
Interest,2,1,2
Depreciation,27,31,34
Profit before tax,83,88,65
Tax %,35%,37%,
Net Profit,54,55,44
EPS in Rs,3.79,3.84,3.03
