,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,16,22,25,25
Reserves,286,488,203,-106
Borrowings +,719,"1,476","1,898","2,171"
Other Liabilities +,385,244,163,59
Total Liabilities,"1,406","2,230","2,289","2,149"
Fixed Assets +,238,434,791,727
CWIP,200,245,18,19
Investments,0,9,59,55
Other Assets +,968,"1,542","1,421","1,349"
Total Assets,"1,406","2,230","2,289","2,149"
