,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,12,12,12,12,12
Reserves,-0,633,649,718,939,"1,091"
Borrowings +,0,587,561,484,316,227
Other Liabilities +,0,238,243,241,275,289
Total Liabilities,0,"1,458","1,466","1,455","1,542","1,619"
Fixed Assets +,0,"1,138","1,111","1,074","1,038","1,000"
CWIP,0,4,6,4,0,7
Investments,0,0,0,0,0,0
Other Assets +,0,317,349,377,504,612
Total Assets,0,"1,458","1,466","1,455","1,542","1,619"
