,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,28,28,30,29,29,29,29,29,29,29,29,30
Reserves,467,584,625,632,454,538,570,624,673,718,806,913
Borrowings +,"1,333",592,536,438,495,353,447,368,244,294,296,57
Other Liabilities +,310,482,399,474,522,323,311,678,648,787,655,821
Total Liabilities,"2,138","1,686","1,590","1,573","1,499","1,243","1,356","1,698","1,594","1,827","1,786","1,820"
Fixed Assets +,435,434,428,405,416,349,346,355,396,368,337,318
CWIP,0,1,3,2,3,19,5,63,3,4,1,20
Investments,159,237,15,20,3,104,104,103,102,102,103,102
Other Assets +,"1,544","1,014","1,144","1,147","1,077",771,902,"1,176","1,093","1,353","1,345","1,379"
Total Assets,"2,138","1,686","1,590","1,573","1,499","1,243","1,356","1,698","1,594","1,827","1,786","1,820"
