,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,95,95,95,95,95,95,95,95,95,102,404,404
Reserves,147,800,943,"1,064","1,435","1,937","2,313","2,730","2,909","2,731","3,158","4,891","5,776"
Borrowings +,17,206,188,158,94,81,79,77,67,36,0,0,0
Other Liabilities +,277,599,379,486,461,328,362,358,391,405,428,645,850
Total Liabilities,466,"1,700","1,605","1,803","2,085","2,441","2,849","3,260","3,461","3,267","3,688","5,939","7,030"
Fixed Assets +,67,307,284,274,258,483,567,542,524,695,719,850,897
CWIP,0,42,42,42,270,172,71,301,285,268,322,179,88
Investments,2,8,8,9,6,109,107,106,225,251,356,536,563
Other Assets +,397,"1,343","1,272","1,479","1,551","1,678","2,104","2,310","2,427","2,053","2,291","4,374","5,481"
Total Assets,466,"1,700","1,605","1,803","2,085","2,441","2,849","3,260","3,461","3,267","3,688","5,939","7,030"
