,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,17,18,20,22,22,24,24,23,23,23,23
Reserves,332,380,442,582,464,566,292,386,474,521,314,374,421
Borrowings +,98,139,152,181,209,195,110,73,115,154,124,57,82
Other Liabilities +,105,81,119,148,132,143,277,331,305,279,154,192,230
Total Liabilities,549,617,729,928,825,925,701,814,917,976,615,645,756
Fixed Assets +,251,298,329,360,201,225,370,310,296,317,143,144,171
CWIP,37,42,36,98,105,106,23,28,97,134,13,11,16
Investments,9,6,0,0,4,6,3,3,18,42,36,40,36
Other Assets +,253,271,365,470,515,588,305,474,507,484,423,449,533
Total Assets,549,617,729,928,825,925,701,814,917,976,615,645,756
