,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,7,8,8,8,8,8,8,8,9,9
Reserves,214,271,316,389,539,639,979,"1,077","1,189","1,321","1,471","1,814","1,788"
Borrowings +,57,61,132,118,189,221,241,191,194,390,846,683,803
Other Liabilities +,63,96,99,163,169,194,244,223,218,270,308,370,383
Total Liabilities,338,433,551,678,905,"1,062","1,472","1,499","1,610","1,989","2,632","2,876","2,983"
Fixed Assets +,146,167,181,294,316,580,492,534,558,650,"1,111","1,342","1,654"
CWIP,3,58,129,111,222,95,141,210,429,666,541,506,302
Investments,4,68,50,10,66,53,253,140,2,10,21,34,39
Other Assets +,185,141,191,262,301,334,587,615,621,662,959,993,988
Total Assets,338,433,551,678,905,"1,062","1,472","1,499","1,610","1,989","2,632","2,876","2,983"
