,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4
Reserves,41,44,42,34,23,20,24,34
Borrowings +,28,14,14,10,9,11,14,23
Other Liabilities +,22,20,34,48,40,51,59,90
Total Liabilities,94,82,94,96,75,86,101,151
Fixed Assets +,59,53,61,60,53,55,52,91
CWIP,2,0,0,0,0,0,0,0
Investments,14,20,21,27,18,16,21,8
Other Assets +,19,9,11,9,4,15,27,52
Total Assets,94,82,94,96,75,86,101,151
