,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,413,468,504,474,466,479,478,453,638,742,795,802
Borrowings +,0,0,0,0,10,15,13,25,20,5,0,18
Other Liabilities +,66,73,60,79,75,80,102,113,141,132,122,134
Total Liabilities,494,555,579,568,566,590,608,605,815,894,931,969
Fixed Assets +,82,121,236,185,139,162,158,154,151,149,152,161
CWIP,0,1,1,1,1,0,15,22,27,25,28,28
Investments,313,183,157,184,275,339,307,251,446,585,612,619
Other Assets +,100,250,186,199,151,90,127,178,191,135,140,161
Total Assets,494,555,579,568,566,590,608,605,815,894,931,969
