,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,65,65,65,65,66,66,66,66,132,132,132,132,132
Reserves,127,231,364,485,580,696,739,924,"1,141","1,002","1,311","1,866","1,936"
Borrowings +,-0,-0,-0,-0,-0,-0,-0,-0,-0,"1,670","1,620","2,106","2,326"
Other Liabilities +,115,171,222,312,429,460,485,507,583,566,704,678,784
Total Liabilities,306,467,652,862,"1,075","1,222","1,291","1,497","1,856","3,370","3,767","4,782","5,178"
Fixed Assets +,180,254,395,546,737,828,800,789,809,"2,189","2,146","2,737","3,124"
CWIP,3,14,10,20,20,26,61,14,16,41,29,47,83
Investments,20,92,94,94,75,91,94,263,181,51,517,927,929
Other Assets +,102,107,153,202,243,277,336,430,850,"1,089","1,076","1,072","1,043"
Total Assets,306,467,652,862,"1,075","1,222","1,291","1,497","1,856","3,370","3,767","4,782","5,178"
