,Mar 2016,Mar 2017
Sales +,"1,508","1,573"
Expenses +,"1,261","1,323"
Operating Profit,246,249
OPM %,16%,16%
Other Income +,21,30
Interest,63,66
Depreciation,51,56
Profit before tax,153,158
Tax %,37%,33%
Net Profit,96,106
EPS in Rs,12.70,13.95
