,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,36.03,23.32,30.62,32.97,40.35,42.48,48.33,42.08,45.01,44.97
Expenses +,26.02,16.33,25.78,26.71,32.43,34.89,43.73,36.78,39.07,39.21
Operating Profit,10.01,6.99,4.84,6.26,7.92,7.59,4.60,5.30,5.94,5.76
OPM %,27.78%,29.97%,15.81%,18.99%,19.63%,17.87%,9.52%,12.60%,13.20%,12.81%
Other Income +,1.42,1.47,7.70,3.69,3.73,2.59,4.77,2.72,2.99,2.77
Interest,3.38,2.87,2.04,2.61,2.43,2.03,2.86,2.91,2.10,1.98
Depreciation,4.80,2.40,2.10,2.61,3.61,4.43,6.39,7.05,6.58,6.35
Profit before tax,3.25,3.19,8.40,4.73,5.61,3.72,0.12,-1.94,0.25,0.20
Tax %,22.77%,-11.29%,33.81%,29.18%,27.63%,30.65%,-333.33%,14.95%,100.00%,
Net Profit,2.52,3.54,5.55,3.35,4.06,2.57,0.52,-1.66,0.01,-0.23
EPS in Rs,0.17,0.24,0.38,0.21,0.21,0.13,0.03,-0.09,0.00,-0.01
