,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,102","1,479","1,818","1,492","1,560","2,217","2,664"
Expenses +,874,"1,185","1,375","1,095","1,122","1,683","2,044"
Operating Profit,228,294,443,398,438,534,620
OPM %,21%,20%,24%,27%,28%,24%,23%
Other Income +,11,12,14,3,10,8,10
Interest,90,112,141,149,107,84,93
Depreciation,113,149,176,196,192,206,215
Profit before tax,37,44,140,56,149,252,322
Tax %,-117%,28%,30%,28%,35%,35%,
Net Profit,80,32,97,40,97,163,208
EPS in Rs,,,,,46.08,77.19,98.54
