,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,14,14,16,16,17,20,20,20,22,24,24,26
Reserves,18,65,98,184,198,532,743,759,767,922,"1,167","1,232","1,514"
Borrowings +,25,29,208,251,230,434,487,478,509,491,809,"1,508","1,490"
Other Liabilities +,27,40,66,96,123,264,259,281,432,482,547,585,683
Total Liabilities,81,147,385,545,565,"1,247","1,509","1,539","1,728","1,918","2,546","3,349","3,712"
Fixed Assets +,55,58,110,382,378,957,"1,001","1,053","1,244","1,384","1,301","2,048","2,035"
CWIP,1,34,206,18,10,15,55,125,110,108,517,100,115
Investments,0,0,0,15,38,0,0,0,0,0,0,315,365
Other Assets +,25,55,68,130,139,274,452,361,374,426,727,886,"1,197"
Total Assets,81,147,385,545,565,"1,247","1,509","1,539","1,728","1,918","2,546","3,349","3,712"
