,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,080","4,479","4,520","4,804","5,394","6,521"
Expenses +,"3,549","3,895","3,921","4,083","4,625","5,678"
Operating Profit,531,584,599,720,769,843
OPM %,13%,13%,13%,15%,14%,13%
Other Income +,31,48,59,76,60,46
Interest,64,60,41,43,35,70
Depreciation,13,13,27,30,42,80
Profit before tax,485,560,591,724,752,739
Tax %,33%,28%,16%,15%,23%,
Net Profit,324,401,496,617,578,581
EPS in Rs,5.17,6.40,7.91,9.82,9.13,9.12
