,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,19.03,19.87,34.21,46.16,47.68,62.64,60.34
Expenses +,17.69,17.48,31.02,42.93,43.04,59.76,58.40
Operating Profit,1.34,2.39,3.19,3.23,4.64,2.88,1.94
OPM %,7.04%,12.03%,9.32%,7.00%,9.73%,4.60%,3.22%
Other Income +,0.03,-0.03,0.02,0.10,0.41,0.67,0.64
Interest,0.38,0.68,1.19,1.69,1.76,1.54,2.22
Depreciation,0.14,0.33,0.47,0.38,1.11,1.33,1.66
Profit before tax,0.85,1.35,1.55,1.26,2.18,0.68,-1.30
Tax %,34.12%,29.63%,29.03%,32.54%,26.15%,26.47%,
Net Profit,0.56,0.96,1.11,0.85,1.61,0.50,-1.08
EPS in Rs,0.76,1.30,1.50,1.03,1.60,0.50,-1.08
