,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,25,25,25,25,23,22,22,22,22
Reserves,172,184,199,213,231,256,305,331,361,388,443,498,536
Borrowings +,50,69,100,78,82,48,31,37,26,8,23,4,11
Other Liabilities +,60,73,87,101,94,93,87,91,67,87,126,108,140
Total Liabilities,307,352,410,417,433,422,448,483,477,505,614,632,709
Fixed Assets +,19,17,26,26,23,23,22,23,23,22,43,42,46
CWIP,0,0,0,0,2,2,2,0,0,0,0,0,0
Investments,73,97,120,109,115,115,163,146,167,203,219,140,130
Other Assets +,215,238,264,281,294,282,261,315,288,279,351,450,532
Total Assets,307,352,410,417,433,422,448,483,477,505,614,632,709
