,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,88,87,108,108,108,108,108,107
Reserves,106,133,117,164,643,672,691,727,768,790
Borrowings +,37,98,224,328,114,71,62,44,155,139
Other Liabilities +,39,85,76,99,96,89,105,118,162,169
Total Liabilities,217,351,504,679,961,939,967,997,"1,194","1,205"
Fixed Assets +,130,175,319,323,650,692,672,660,675,666
CWIP,5,91,82,221,47,3,6,8,6,5
Investments,0,0,0,0,0,11,28,16,25,25
Other Assets +,81,85,102,134,264,233,260,314,488,509
Total Assets,217,351,504,679,961,939,967,997,"1,194","1,205"
