,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,750,750,750,"1,500","1,500","1,500","1,500","1,500","1,500"
Reserves,"4,972","5,912","7,428","8,311","8,731","9,621","10,307","12,168","13,002"
Borrowings +,"2,812","2,615","2,218","1,453",733,"3,690","3,653","3,438","3,474"
Other Liabilities +,"2,830","3,198","3,517","4,480","4,285","4,056","3,630","4,258","5,512"
Total Liabilities,"11,364","12,475","13,914","15,745","15,249","18,867","19,090","21,365","23,488"
Fixed Assets +,"7,217","6,811","8,423","8,030","7,665","11,188","10,313","9,557","9,141"
CWIP,754,"1,550",49,220,348,5,25,193,449
Investments,5,138,"3,020","4,213","1,154",517,"1,707","1,286",634
Other Assets +,"3,388","3,975","2,422","3,282","6,082","7,157","7,044","10,329","13,265"
Total Assets,"11,364","12,475","13,914","15,745","15,249","18,867","19,090","21,365","23,488"
