,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,38,52,49,41,32,29,27,23,16,-3,-14,-7,-18
Borrowings +,76,47,46,60,70,83,80,81,80,84,105,118,120
Other Liabilities +,55,54,87,87,68,69,74,80,102,153,142,127,150
Total Liabilities,181,164,194,200,181,193,193,195,210,245,244,249,264
Fixed Assets +,85,74,75,79,82,78,111,103,98,132,114,130,138
CWIP,10,21,15,38,6,12,4,7,11,12,13,7,5
Investments,2,2,1,1,2,2,5,4,4,4,4,6,11
Other Assets +,84,66,102,83,92,101,72,80,97,97,114,106,110
Total Assets,181,164,194,200,181,193,193,195,210,245,244,249,264
