,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,71,141,141,141,141,141,149,149,149,150
Reserves,"1,412","1,489","1,642","1,853","2,206","2,706","3,688","4,604","5,394","5,684"
Borrowings +,458,546,796,856,800,272,157,282,118,112
Other Liabilities +,823,"1,138","1,296","1,729","1,300","2,509","1,967","1,979","1,751","2,133"
Total Liabilities,"2,763","3,314","3,875","4,579","4,448","5,628","5,961","7,015","7,412","8,078"
Fixed Assets +,750,822,985,"1,128","1,197","1,276","1,422","1,870","1,675","1,663"
CWIP,116,179,138,165,136,193,241,99,375,452
Investments,0,0,0,33,32,29,65,635,773,"1,287"
Other Assets +,"1,897","2,312","2,752","3,253","3,083","4,130","4,232","4,411","4,588","4,676"
Total Assets,"2,763","3,314","3,875","4,579","4,448","5,628","5,961","7,015","7,412","8,078"
