,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,45,45,45,45,45,45,45,66,66,66,66,66,66
Reserves,"1,863","1,867","1,790","1,398","1,213",759,505,170,38,-108,-306,-281,-301
Borrowings +,610,691,"1,094","1,112","1,251","1,281","1,337","1,252",898,505,538,414,355
Other Liabilities +,"2,188","2,424","2,749","1,951","1,438","1,481","1,297","1,390",989,584,352,292,358
Total Liabilities,"4,706","5,026","5,678","4,506","3,947","3,566","3,184","2,877","1,992","1,047",649,491,478
Fixed Assets +,337,358,372,909,811,727,638,165,142,55,36,4,4
CWIP,32,46,39,11,1,4,5,2,0,0,0,0,0
Investments,607,432,919,175,235,50,121,122,0,0,0,97,72
Other Assets +,"3,730","4,190","4,349","3,411","2,900","2,784","2,420","2,587","1,850",992,614,390,402
Total Assets,"4,706","5,026","5,678","4,506","3,947","3,566","3,184","2,877","1,992","1,047",649,491,478
