,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,17,17,17,19,19
Reserves,89,90,95,148,150,157,322,364,411,381,488,"1,358","1,439"
Borrowings +,59,59,61,13,8,4,3,16,64,10,1,1,2
Other Liabilities +,75,68,71,65,72,89,137,181,217,211,277,309,407
Total Liabilities,241,235,245,244,247,267,480,578,709,620,784,"1,688","1,867"
Fixed Assets +,104,96,89,102,84,85,199,197,215,219,226,278,298
CWIP,0,0,0,0,0,0,0,0,0,0,2,2,0
Investments,40,40,40,40,40,40,132,151,148,75,137,676,583
Other Assets +,98,100,116,101,124,143,149,230,345,325,420,732,987
Total Assets,241,235,245,244,247,267,480,578,709,620,784,"1,688","1,867"
