,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022,Sep 2022
Share Capital +,288,305,229,300,230,218,218,218,218,218,69,49
Reserves,20,6,-64,-60,5,81,141,135,32,8,117,120
Borrowings +,343,362,348,319,275,136,48,23,0,7,12,29
Other Liabilities +,519,459,346,356,293,260,251,404,466,225,359,340
Total Liabilities,910,871,679,664,622,527,488,611,548,289,536,538
Fixed Assets +,357,318,160,145,114,72,27,32,38,12,364,55
CWIP,17,17,17,19,19,19,19,300,306,-0,-0,309
Investments,232,232,141,137,137,137,116,-0,0,9,59,59
Other Assets +,304,305,361,363,352,298,327,280,204,269,113,115
Total Assets,910,871,679,664,622,527,488,611,548,289,536,538
