,Mar 2015,Mar 2016
Share Capital +,20,20
Reserves,122,117
Borrowings +,63,43
Other Liabilities +,35,49
Total Liabilities,240,229
Fixed Assets +,111,104
CWIP,0,0
Investments,23,41
Other Assets +,106,84
Total Assets,240,229
