,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,42,42,42,42
Reserves,72,-67,-173,-256
Borrowings +,"1,494","1,568","1,304","1,091"
Other Liabilities +,360,283,670,"1,093"
Total Liabilities,"1,968","1,826","1,843","1,970"
Fixed Assets +,"1,191","1,148","1,094","1,030"
CWIP,32,31,31,15
Investments,14,13,6,6
Other Assets +,731,634,712,919
Total Assets,"1,968","1,826","1,843","1,970"
