,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,31,31,31,31,65,65,31,31,31,31
Reserves,494,485,476,469,520,503,492,469,466,450,452,464
Borrowings +,144,173,196,242,239,301,307,320,414,459,456,442
Other Liabilities +,240,248,281,292,376,422,488,613,700,684,703,708
Total Liabilities,908,937,984,"1,034","1,166","1,257","1,317","1,432","1,611","1,624","1,641","1,645"
Fixed Assets +,644,532,512,529,494,453,718,779,737,707,681,706
CWIP,16,21,44,96,193,253,110,25,36,37,37,0
Investments,70,52,46,20,72,73,64,76,66,19,70,42
Other Assets +,179,332,381,390,408,478,425,552,772,861,853,896
Total Assets,908,937,984,"1,034","1,166","1,257","1,317","1,432","1,611","1,624","1,641","1,645"
