,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14
Reserves,"1,447","1,614","1,675","1,669","1,805","1,262","1,107","1,180","1,257"
Borrowings +,356,87,77,63,163,399,330,220,202
Other Liabilities +,165,189,86,78,610,121,272,276,385
Total Liabilities,"1,982","1,905","1,853","1,824","2,592","1,796","1,723","1,691","1,859"
Fixed Assets +,745,55,68,64,53,531,502,651,620
CWIP,0,1,-0,-0,519,0,-0,-0,-0
Investments,767,"1,100","1,094","1,052","1,181",627,414,447,491
Other Assets +,470,749,691,709,839,639,807,593,748
Total Assets,"1,982","1,905","1,853","1,824","2,592","1,796","1,723","1,691","1,859"
